x;y;z
-0.003;-0.002;-1.001
-0.006;0.001;-1.000
-0.003;0.002;-0.999
-0.002;0.002;-0.997
-0.005;0.005;-1.006
-0.002;0.005;-1.002
0.000;-0.001;-1.002
-0.001;0.000;-1.000
0.001;0.001;-0.997
-0.001;0.001;-1.004
-0.002;0.000;-0.997
-0.003;-0.001;-1.001
-0.001;0.000;-1.002
-0.001;0.003;-0.996
-0.001;0.000;-1.009
-0.001;-0.001;-1.005
-0.003;0.007;-0.997
-0.004;0.000;-1.000
-0.005;0.000;-1.007
0.000;0.000;-1.003
-0.002;-0.003;-0.998
0.002;0.000;-1.003
-0.003;0.003;-0.999
-0.006;0.002;-0.999
-0.002;0.001;-1.000
-0.001;0.001;-0.998
-0.002;0.001;-1.002
-0.004;0.003;-1.000
0.000;0.002;-0.997
-0.002;0.003;-1.001
-0.006;0.001;-1.002
-0.002;0.005;-0.995
-0.004;0.001;-1.009
0.001;-0.002;-0.999
-0.001;-0.002;-1.000
-0.001;0.001;-1.005
-0.005;-0.001;-1.001
0.000;0.000;-0.998
-0.002;0.001;-1.001
-0.001;-0.001;-1.008
-0.003;0.005;-1.002
0.002;0.002;-1.006
-0.003;0.003;-0.997
-0.006;0.004;-1.000
-0.002;0.001;-1.009
-0.005;0.002;-0.998
-0.002;0.004;-0.996
-0.004;0.003;-1.001
-0.004;0.000;-0.999
0.002;0.000;-0.997
-0.003;0.004;-1.006
-0.001;0.001;-1.005
-0.005;0.001;-1.002
-0.005;0.007;-1.003
-0.002;-0.002;-1.000
-0.002;0.002;-1.010
-0.001;0.003;-1.003
-0.002;0.002;-1.003
0.000;0.002;-1.000
-0.002;0.006;-0.998
-0.003;0.001;-1.001
-0.002;0.004;-0.997
-0.001;0.000;-1.002
-0.006;0.001;-0.998
-0.001;0.000;-1.004
-0.001;0.000;-0.996
0.002;-0.002;-1.002
-0.004;0.001;-0.998
0.000;0.005;-1.003
-0.002;0.001;-0.998
0.001;0.001;-1.004
-0.002;0.000;-1.000
-0.007;0.003;-1.002
-0.002;0.001;-1.005
-0.005;-0.001;-1.000
-0.002;0.003;-0.998
-0.003;-0.002;-0.998
-0.004;-0.002;-1.005
0.001;0.001;-0.999
-0.004;0.002;-0.994
0.001;0.005;-1.004
-0.002;0.001;-1.001
-0.004;0.000;-1.001
-0.002;0.005;-0.997
-0.001;0.000;-1.006
-0.002;0.003;-1.003
-0.004;0.003;-0.998
-0.005;-0.004;-1.006
-0.007;-0.001;-1.003
0.001;0.002;-0.996
-0.001;-0.001;-1.000
-0.001;0.004;-1.001
-0.006;0.002;-1.008
-0.004;0.003;-0.999
-0.001;-0.003;-0.999
-0.003;0.001;-1.002
-0.003;0.001;-1.003
-0.002;0.004;-1.000
-0.005;0.002;-1.001
-0.001;0.000;-0.999
-0.003;0.003;-1.005
-0.005;0.001;-0.997
0.001;0.002;-1.001
-0.002;0.007;-1.005
-0.002;0.012;-1.001
-0.002;0.003;-1.002
-0.003;0.001;-0.996
0.000;0.002;-1.000
-0.004;-0.001;-0.998
-0.001;0.002;-1.002
0.000;0.005;-0.999
-0.001;0.003;-1.002
0.004;0.002;-1.007
-0.001;0.000;-1.000
-0.005;-0.005;-1.002
-0.002;-0.001;-1.000
-0.005;0.000;-0.999
-0.003;-0.003;-1.003
-0.005;0.003;-1.002
-0.001;-0.001;-0.997
-0.006;0.003;-1.000
-0.003;-0.002;-1.000
-0.003;0.005;-1.007
-0.005;0.004;-1.006
-0.005;0.002;-1.006
-0.007;0.000;-1.005
-0.005;0.001;-0.998
-0.005;0.003;-1.002
-0.003;0.003;-0.996
-0.009;0.003;-1.000
-0.005;0.003;-1.000
-0.001;0.000;-1.004
-0.001;0.002;-1.003
-0.004;0.006;-0.998
-0.001;0.003;-0.997
0.000;0.002;-1.002
-0.004;0.001;-0.999
-0.004;-0.003;-1.003
-0.004;0.003;-1.003
-0.003;0.004;-1.005
-0.008;0.007;-0.998
-0.001;0.000;-1.002
-0.003;-0.001;-1.002
0.001;0.004;-1.003
-0.003;0.003;-0.998
-0.003;0.004;-0.998
0.001;0.001;-1.007
-0.002;0.001;-1.003
-0.003;0.003;-1.000
-0.001;-0.002;-0.996
0.000;-0.003;-1.005
-0.002;0.003;-1.003
-0.002;-0.001;-0.999
-0.003;0.001;-1.001
-0.003;0.004;-0.999
-0.001;-0.004;-0.997
-0.006;-0.001;-1.006
-0.007;0.002;-1.003
-0.005;0.002;-1.005
-0.003;0.001;-1.008
-0.003;0.000;-0.997
-0.006;0.005;-1.001
-0.004;0.001;-1.005
0.003;0.000;-0.995
-0.004;0.004;-1.002
-0.004;-0.001;-0.995
-0.001;-0.003;-1.005
-0.001;0.000;-1.004
-0.002;0.000;-0.997
0.000;0.006;-1.002
-0.002;0.003;-1.001
-0.005;-0.001;-1.005
-0.008;0.000;-0.999
-0.005;0.005;-1.005
-0.004;0.002;-0.995
-0.006;0.004;-1.000
-0.001;0.005;-1.002
-0.001;-0.001;-1.003
-0.003;0.001;-1.007
-0.001;0.001;-0.999
-0.002;0.004;-0.998
-0.003;0.002;-1.002
-0.004;0.004;-1.007
0.002;0.001;-1.004
-0.001;0.000;-1.006
0.001;0.000;-1.010
-0.006;0.006;-0.989
-0.001;0.003;-1.006
-0.001;0.003;-0.990
0.000;0.000;-0.999
-0.005;0.000;-1.009
-0.002;0.006;-0.989
-0.003;-0.001;-1.009
-0.003;0.002;-1.003
-0.001;0.009;-0.996
-0.003;0.002;-1.010
-0.001;-0.001;-0.994
-0.006;0.005;-0.996
-0.002;-0.002;-1.006
-0.002;0.000;-0.997
-0.004;0.006;-1.003
-0.005;0.000;-1.009
-0.003;0.004;-0.999
-0.006;0.002;-1.004
-0.002;0.006;-1.002
-0.006;0.005;-0.997
-0.001;0.004;-1.001
-0.001;0.003;-1.002
-0.004;0.003;-0.998
-0.005;0.006;-1.003
-0.001;0.003;-1.008
-0.003;0.001;-0.997
0.004;0.004;-1.002
0.001;0.002;-1.005
-0.002;0.003;-1.005
-0.003;0.004;-0.998
-0.003;0.003;-1.002
-0.002;0.005;-1.003
-0.001;0.000;-1.006
-0.002;0.004;-1.006
0.000;0.005;-1.000
-0.001;0.009;-0.998
-0.004;0.001;-1.002
-0.007;-0.001;-0.999
-0.006;0.005;-0.998
0.000;0.003;-1.004
0.003;0.015;-0.997
0.007;0.008;-1.010
0.003;-0.002;-1.001
-0.004;0.002;-0.993
0.014;-0.010;-1.010
-0.001;-0.003;-1.009
0.018;-0.005;-0.998
-0.070;-0.017;-0.975
-0.024;0.019;-1.001
-0.002;-0.017;-1.001
